,title,release_date,genre_ids,vote_average,vote_count,popularity,id
0,"Love, Rosie",2015-02-06,"[10749, 18, 35]",7.8,6009,33.404,200727
1,Taken 3,2015-01-09,"[53, 28]",6.245,5484,77.507,260346
2,Unfriended,2015-04-17,"[27, 9648, 53]",5.534,3225,13.024,277685
3,Seventh Son,2015-02-06,"[12, 14]",5.498,2395,35.467,68737
4,The Loft,2015-01-30,[53],6.412,1383,33.044,72784
5,Clown,2016-06-17,"[27, 53]",5.759,1292,17.713,112454
6,The Water Diviner,2015-04-24,"[10752, 18]",6.805,1173,17.362,256917
7,Black Sea,2015-01-23,"[12, 18, 53]",6.253,1039,14.067,246080
8,Tinker Bell and the Legend of the NeverBeast,2015-03-03,"[12, 16, 10751]",7.274,985,44.594,297270
9,Testament of Youth,2015-06-04,"[36, 18, 10752]",7.283,722,11.983,284689
10,Clouds of Sils Maria,2015-04-10,[18],6.633,716,10.974,246860
11,Playing It Cool,2015-05-08,"[35, 10749]",5.879,713,24.3,277547
12,Cooties,2015-09-18,"[35, 27]",5.901,702,16.627,241843
13,Zombeavers,2015-03-20,"[27, 28, 35]",4.9,664,17.063,254474
14,Spring,2015-03-20,"[27, 10749, 878]",6.636,650,12.393,241855
15,Everly,2015-02-27,"[53, 28]",5.499,566,12.241,277355
16,The Rewrite,2015-02-13,"[10749, 35]",6.03,558,12.961,289727
17,Last Shift,2015-10-06,"[27, 9648]",6.247,546,22.426,296065
18,Avengers: Age of Ultron,2015-05-01,"[28, 12, 878]",7.273,22175,93.233,99861
19,Mad Max: Fury Road,2015-05-15,"[28, 12, 878]",7.588,21356,89.682,76341
20,Inside Out,2015-06-19,"[16, 10751, 12, 18, 35]",7.918,20006,115.344,150540
21,Jurassic World,2015-06-12,"[28, 12, 878, 53]",6.685,19732,62.183,135397
22,Ant-Man,2015-07-17,"[878, 28, 12]",7.08,19063,50.142,102899
23,The Martian,2015-10-02,"[18, 12, 878]",7.683,18921,49.805,286217
24,Star Wars: The Force Awakens,2015-12-18,"[12, 28, 878]",7.285,18701,50.378,140607
25,The Revenant,2015-12-25,"[37, 18, 12]",7.53,17461,44.253,281957
26,The Hateful Eight,2015-12-25,"[18, 9648, 37]",7.8,13589,46.919,273248
27,The Hunger Games: Mockingjay - Part 2,2015-11-18,"[28, 12, 878]",6.895,11978,47.555,131634
28,Fifty Shades of Grey,2015-02-13,"[18, 10749, 53]",5.881,11317,115.66,216015
29,Furious 7,2015-04-03,"[28, 53, 80]",7.236,10199,70.439,168259
30,Minions,2015-07-10,"[10751, 16, 12, 35]",6.399,10144,33.676,211672
31,Spectre,2015-11-06,"[28, 12, 53]",6.539,10099,43.986,206647
32,Maze Runner: The Scorch Trials,2015-09-18,"[878, 28, 53, 12]",6.729,9880,72.088,294254
33,Insurgent,2015-03-20,"[28, 12, 878, 53]",6.365,9649,57.103,262500
34,Room,2015-10-16,"[18, 53]",8.029,8837,21.325,264644
35,The Big Short,2015-12-11,"[35, 18]",7.349,8556,33.324,318846
36,Mission: Impossible - Rogue Nation,2015-07-31,"[28, 12]",7.195,8400,51.26,177677
37,San Andreas,2015-05-29,"[28, 18, 53]",6.232,8203,31.531,254128
38,Sicario,2015-09-18,"[28, 80, 53]",7.392,8072,50.554,273481
39,Terminator Genisys,2015-07-01,"[878, 28, 53, 12]",5.933,8039,69.215,87101
40,Spotlight,2015-11-06,"[18, 36]",7.816,7908,20.055,314365
41,Chappie,2015-03-06,"[80, 28, 878]",6.777,7584,47.145,198184
42,Focus,2015-02-27,"[10749, 35, 80]",6.879,7501,29.189,256591
43,Pixels,2015-07-24,"[28, 35, 878]",5.723,7209,52.79,257344
44,Creed,2015-11-25,"[28, 18]",7.416,7113,91.028,312221
45,Ted 2,2015-06-26,"[35, 14]",6.295,7103,141.462,214756
46,Cinderella,2015-03-13,"[10749, 14, 10751, 18]",6.808,6829,74.885,150689
47,Tomorrowland,2015-05-22,"[12, 10751, 9648, 878]",6.259,6705,36.585,158852
48,The Witch,2016-02-19,"[27, 9648, 18]",6.937,6583,38.982,310131
49,Bridge of Spies,2015-10-16,"[53, 18]",7.228,6548,21.027,296098
50,Jupiter Ascending,2015-02-27,"[878, 14, 28]",5.446,6488,43.825,76757
51,The Intern,2015-09-25,[35],7.203,6354,43.492,257211
52,The Age of Adaline,2015-04-24,"[10749, 14, 18]",7.473,6251,52.893,293863
